has title,has publication date,embodiment of,type,ID,has publisher,provider,has URL,has part
Lives of the Most Eminent Painters Sculptors and Architects,"",LOTA_t_en_1912,DigitalManifestation,LOTA_m_en_1912,"[""Macmillan Publishers"", ""The Medici Society Ltd""]",[The Online Books Page],"[""https://onlinebooks.library.upenn.edu/webbin/metabook?id=livespainters""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 01 (of 10)",05-05-2008,LOTA_t_en_v1_1912,WebPage,LOTA_m_en_v1_1912,[],"[""Project Gutenberg""]","[""https://www.gutenberg.org/files/25326/25326-h/25326-h.htm""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 09 (of 10)",13-05-2010,LOTA_t_en_v9_1915,WebPage,LOTA_m_en_v9_1915,[],"[""Project Gutenberg""]","[""""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 10 (of 10)",20-07-2010,LOTA_t_en_v10_1915,WebPage,LOTA_m_en_v10_1915,[],"[""Project Gutenberg""]","[""""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 05 (of 10)",27-03-2009,LOTA_t_en_v5_1913,WebPage,LOTA_m_en_v5_1913,[],"[""Project Gutenberg""]","[""""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 02 (of 10)",27-03-2009,LOTA_t_en_v2_1912,WebPage,LOTA_m_en_v2_1912,[],"[""Project Gutenberg""]","[""https://www.gutenberg.org/files/25759/25759-h/25759-h.htm""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 03 (of 10)",11-06-2008,LOTA_t_en_v3_1912,WebPage,LOTA_m_en_v3_1912,[],"[""Project Gutenberg""]","[""""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 04 (of 10)",09-10-2008,LOTA_t_en_v4_1913,WebPage,LOTA_m_en_v4_1913,[],"[""Project Gutenberg""]","[""""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 06 (of 10)",27-03-2009,LOTA_t_en_v6_1913,WebPage,LOTA_m_en_v6_1913,[],"[""Project Gutenberg""]","[""""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 07 (of 10)",31-03-2010,LOTA_t_en_v7_1914,WebPage,LOTA_m_en_v7_1914,[],"[""Project Gutenberg""]","[""""]",[]
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 08 (of 10)",10-04-2010,LOTA_t_en_v8_1914,WebPage,LOTA_m_en_v8_1914,[],"[""Project Gutenberg""]","[""""]",[]
