artist1,artist2,dice_coefficient,pages,paragraphs,volume,dice_acitivty,start,end
"Lorenzo, Neri di","Montepulciano, Marco da",1.0,[72],['58.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
Cristofano,Simone,1.0,[104],['82.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
Cristofano,"Galassi, Galasso (Galasso Ferrarese)",1.0,[104],['82.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
Simone,"Galassi, Galasso (Galasso Ferrarese)",1.0,[104],['82.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Camicia, Chimenti","Linaiuolo, Berto",1.0,[92],['104.0'],['2'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Bolognese, Biagio (Biagio Pupini)","Cotignola, Girolamo da (Girolamo Marchesi)",1.0,[211],['298.0'],['4'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Cock, Hieronymus","Heemskerk, Martin",1.0,[116],['200.0'],['5'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Torri, Bartolommeo","Clovio, Don Giulio",1.0,[264],['392.0'],['5'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Caliari, Paolo (Paolo Veronese)","Canneri, Anselmo",1.0,[22],['40.0'],['5'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Cattaneo, Danese (Danese da Carrara)","Angelo, Battista d' (Battista d' Agnolo, or del Moro)",1.0,[27],['50.0'],['5'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
Agostino (of Siena),Agnolo (of Siena),0.8,"[97, 99]","['129.0', '131.0']","['0', '0']",dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Tedesco, Jacopo (Lapo)",Buono,0.6666666666666666,[14],['17.0'],['0'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Colle, Simone da (Simone de' Bronzi)","Valdambrina, Francesco di",0.6666666666666666,[200],['180.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
Polycletus,"Ghiberti, Bonaccorso",0.6666666666666666,[160],['143.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
Duccio,Moccio,0.6666666666666666,[10],['7.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
Cristofano,"Avanzi, Jacopo (Jacopo Davanzo)",0.6666666666666666,[104],['82.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Avanzi, Jacopo (Jacopo Davanzo)",Simone,0.6666666666666666,[104],['82.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Avanzi, Jacopo (Jacopo Davanzo)","Galassi, Galasso (Galasso Ferrarese)",0.6666666666666666,[104],['82.0'],['1'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Avanzi, Jacopo (Jacopo Davanzo)","Verona, Sebeto da",0.6666666666666666,[55],['61.0'],['3'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Cellini, Baccio","Camicia, Chimenti",0.6666666666666666,[92],['104.0'],['2'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Cellini, Baccio","Linaiuolo, Berto",0.6666666666666666,[92],['104.0'],['2'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Settignano, Desiderio da","Fiesole, Mino da (Mino di Giovanni,",0.6666666666666666,"[154, 155]","['168.0', '170.0']","['2', '2']",dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Zevio, Aldigieri (Altichiero) da","Verona, Sebeto da",0.6666666666666666,[55],['61.0'],['3'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Dossi, Dosso","Dossi, Battista",0.6666666666666666,"[141, 140]","['207.0', '205.0']","['4', '4']",dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Caraglio, Giovanni Jacopo",Baviera,0.6666666666666666,[109],['187.0'],['5'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
"Viviano, Michelagnolo di","Prato, Francesco di Girolamo dal",0.6666666666666666,[73],['91.0'],['6'],dice_activity_2024-05-15,2024-05-15T11:56:01,2024-05-15T11:56:02
