artist1,artist2,dice_coefficient,pages,paragraphs,volume
"Galassi, Galasso (Galasso Ferrarese)",Cristofano,1.0,[104],['112'],['1']
"Galassi, Galasso (Galasso Ferrarese)",Simone,1.0,[104],['112'],['1']
Cristofano,Simone,1.0,[104],['112'],['1']
"Ghiberti, Bonaccorso",Polycletus,1.0,[160],['181'],['1']
"Zevio, Aldigieri (Altichiero) da","Verona, Sebeto da",1.0,[55],['60'],['3']
"Zevio, Aldigieri (Altichiero) da","Avanzi, Jacopo (Jacopo Davanzo)",1.0,[55],['60'],['3']
"Verona, Sebeto da","Avanzi, Jacopo (Jacopo Davanzo)",1.0,[55],['60'],['3']
"Marchissi, Antonio di Giorgio","Maini (Marini), Michele",1.0,[4],['2'],['4']
"Cattaneo, Danese (Danese da Carrara)","Angelo, Battista d' (Battista d' Agnolo, or del Moro)",1.0,[28],['50'],['5']
"Nunziata, Toto del","Ceri, Andrea de'",1.0,[191],['299'],['5']
"Lancia, Baldassarre","Menzochi, Francesco (Francesco da Forlï¿½)",1.0,[206],['277'],['6']
"Solari, Cristofano (Cristofano Gobbo)","Busto, Agostino (Il Bambaja)",1.0,[55],['85'],['7']
"Melone, Altobello da","Bembi, Bonifazio",1.0,[43],['60'],['7']
"Moretto, Alessandro (Alessandro Bonvicini)","Gambara, Lattanzio",1.0,[50],['78'],['7']
"Romano, Paolo","Mino, Maestro (Mino del Regno, or del Reame)",0.8,"[92, 91]","['133', '131']","['2', '2']"
"Viniziano, Agostino (Agostino de' Musi)","Dente, Marco (Marco da Ravenna)",0.8,"[103, 106]","['173', '179']","['5', '5']"
Agnolo (of Siena),Agostino (of Siena),0.75,"[98, 99, 100]","['225', '226', '227']","['0', '0', '0']"
"Ghirlandajo, David","Ghirlandajo, Benedetto",0.6666666666666666,[60],['95'],['7']
"Pollaiuolo, Piero","Pollaiuolo, Antonio",0.6666666666666666,"[240, 243]","['354', '359']","['2', '2']"
"Dossi, Battista","Dossi, Dosso",0.6666666666666666,"[140, 141]","['206', '208']","['4', '4']"
"Dossi, Battista","Bernazzano, Cesare",0.6666666666666666,[141],['208'],['4']
"Cotignola, Francesco da (Francesco de' Zaganelli","Ravenna, Rondinello da (Niccolï¿½ Rondinello)",0.6666666666666666,[265],['370'],['4']
"Nola, Giovanni da","Santa Croce, Girolamo",0.6666666666666666,[138],['201'],['4']
"Canneri, Anselmo","Caliari, Paolo (Paolo Veronese)",0.6666666666666666,"[22, 22]","['38', '39']","['5', '5']"
"Canneri, Anselmo","Caroto, Giovanni",0.6666666666666666,[22],['38'],['5']
"Buda, Girolamo del","Viviano, Michelagnolo di",0.6666666666666666,[56],['66'],['6']
"Viviano, Michelagnolo di","Prato, Francesco di Girolamo dal",0.6666666666666666,[73],['90'],['6']
"Primaticcio, Francesco, Description of Works","Barozzi, Jacopo (Vignuola)",0.6666666666666666,[238],['315'],['7']
"Boccaccino, Boccaccio","Melone, Altobello da",0.6666666666666666,[43],['60'],['7']
"Boccaccino, Boccaccio","Bembi, Bonifazio",0.6666666666666666,[43],['60'],['7']
"Memmi, Lippo","Memmi, Simone (Simone Martini, or Sanese)",0.6,"[173, 174, 172]","['337', '339', '334']","['0', '0', '0']"
"Castagno, Andrea dal (Andrea degli Impiccati)","Viniziano, Domenico (Domenico da Venezia)",0.5714285714285714,"[101, 103, 102, 104]","['144', '147', '145', '149']","['2', '2', '2', '2']"
"Bologhini, Bartolommeo","Laurati, Pietro (Pietro Lorenzetti)",0.5,[120],['260'],['0']
"Daddi, Bernardo","Casentino, Jacopo di",0.5,[25],['25'],['1']
"Bellini, Jacopo","Bellini, Gentile",0.5,"[174, 175]","['252', '254']","['2', '2']"
"Mainardi, Bastiano (Bastiano da San Gimignano)","Ghirlandajo, David",0.5,[231],['339'],['2']
"Filarete, Antonio","Ciuffagni, Bernardo",0.5,[7],['11'],['2']
Baviera,"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",0.5,[233],['321'],['3']
Baviera,"Caraglio, Giovanni Jacopo",0.5,[109],['186'],['5']
"Claudio, Maestro","Marcilla, Guglielmo da (Guillaume de Marcillac)",0.5,"[255, 254]","['353', '351']","['3', '3']"
"Montelupo, Baccio da","Montelupo, Raffaello da",0.5,"[45, 43]","['58', '53']","['4', '4']"
"Caravaggio, Polidoro da (Polidoro Caldara)",Maturino,0.5,"[176, 182]","['249', '258']","['4', '4']"
"Pistoia, Il (Leonardo)","Modena, Pellegrino da (Pellegrino degli Aretusi, or de' Munari)",0.5,[80],['110'],['4']
"Cock, Hieronymus","Liefrinck, Hans",0.5,[117],['200'],['5']
"Dï¿½rer, Albrecht","Leyden, Lucas van (Lucas of Holland)",0.46153846153846156,"[99, 98, 97]","['165', '163', '162']","['5', '5', '5']"
Margaritone,"Tedesco, Jacopo (Lapo)",0.4,[65],['181'],['0']
"Tafi, Andrea","Como, Guido da",0.4,[48],['155'],['0']
Simone (brother of Donatello),"Filarete, Antonio",0.4,[4],['6'],['2']
"Bellini, Giovanni","Bellini, Gentile",0.4,"[174, 182, 179]","['252', '263', '259']","['2', '2', '2']"
"Baldovinetti, Alesso",Graffione,0.4,[70],['100'],['2']
"Fabriano, Gentile da","Pisanello, Vittore or Antonio",0.4,[113],['161'],['2']
"Francia, Francesco",Fivizzano,0.4,[29],['28'],['3']
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)","Cock, Hieronymus",0.4,[120],['204'],['5']
"Dossi, Dosso","Bernazzano, Cesare",0.4,[141],['208'],['4']
"Fiesole, Andrea da (Andrea Ferrucci)","Marchissi, Antonio di Giorgio",0.4,[4],['2'],['4']
"Fiesole, Andrea da (Andrea Ferrucci)","Maini (Marini), Michele",0.4,[4],['2'],['4']
"Vicentino, Valerio (Valerio de' Belli)","Marmita, Lodovico",0.4,[84],['143'],['5']
"Caliari, Paolo (Paolo Veronese)","Caroto, Giovanni",0.4,[22],['38'],['5']
"Zucchero, Taddeo","Sant' Agnolo, Francesco",0.4,[216],['265'],['7']
"Zucchero, Taddeo","Porri, Daniello (Daniello da Parma)",0.4,[217],['267'],['7']
"Gaddi, Agnolo","Gaddi, Giovanni",0.3333333333333333,[217],['406'],['0']
"Maiano, Giuliano da","Donzello, Polito del",0.3333333333333333,[14],['20'],['2']
"Squarcione, Jacopo","Mantegna, Andrea",0.3333333333333333,[280],['418'],['2']
"Bellini, Gentile","Vivarino, Luigi",0.3333333333333333,[179],['259'],['2']
"Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)","Angelo, Lorentino d'",0.3333333333333333,"[23, 22]","['35', '31']","['2', '2']"
"Caporali, Benedetto (Giovan Battista)","Signorelli, Luca (Luca da Cortona)",0.3333333333333333,[76],['91'],['3']
"Correggio, Antonio da","Porri, Daniello (Daniello da Parma)",0.3333333333333333,[217],['267'],['7']
"Dossi, Dosso","Nola, Giovanni da",0.3333333333333333,[139],['203'],['4']
